,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,total_funded,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_TARGET,aum_P_CEF,aum_P_MF,aum_P_SMA,total_sales,new_sales,newly_funded
4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6626.96,0,4148.81,2478.15,0,0,0,6626.96,0,0,0,0
4061,0,5,0,0,0,1,0,0,0,1,0,0,2,1,67056.4,0,0,98090.42,0,0,0,0,361791.44,0,0,0
4062,3,0,3,0,1,0,1,0,1,0,1,0,1,1,1102017.21,0,0,1102017.21,0,0,0,0,1102017.21,214391.21,150000,0
4063,0,0,0,0,0,0,0,0,0,0,0,0,1,1,235113.5,0,235113.5,0,0,0,0,0,235113.5,0,0,0
4064,6,9,2,0,5,4,2,0,2,2,1,0,6,1,252009.81,1,0,393545.09,8.25,0,0,543240.95,0,66046.95,303.37,0
4065,24,35,2,0,4,3,2,0,2,1,1,0,9,2,3196942.3,2,412956.63,2783985.67,0,0,0,824383.14,2372559.16,222561.86,936725.79,3
4066,22,0,14,0,2,0,2,0,1,0,1,0,2,1,291000,2,291000,0,0,0,0,291000,0,291000,0,0
4067,0,2,0,0,0,1,0,0,0,1,0,0,1,1,480146.925,0,0,0,501035.805,0,0,480146.925,0,0,3473602.65,1
4068,0,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,296.94,296.94,0
4069,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,12354.59,0,0,0,0,0,410001.48,69340.79,0
4070,26,18,3,1,3,3,3,1,2,2,2,1,2,1,44166.84,1,84121.78,0,0,0,0,44166.84,0,122774.5,35132.55,0
4071,146,35,4,4,9,9,3,3,4,4,3,1,5,2,0,2,0,313061.9773,27968.42288,0,0,39474.90878,0,623385.8219,245004.8837,0
