,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,total_funded,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_TARGET,aum_P_CEF,aum_P_MF,aum_P_SMA,total_sales,new_sales,newly_funded
0,21,38,0,1,5,5,0,1,2,2,0,1,8,1,237480.11,0,0,284737.93,84.5,0,0,122866.04,114614.07,19932,18633.105,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19629,0,0,19629,0,0,0,19629,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758.7,0,0,1758.7,0,0,0,1758.7,0,0,0,0
3,20,0,2,0,1,0,1,0,1,0,1,0,1,1,57943,1,0,0,57943,0,0,57943,0,57943,93212,1
4,71,55,20,4,7,7,6,4,2,2,2,2,12,2,0,2,0,667083.625,0,0,9550,255611.95,0,1321186.555,467693.045,0
5,16,16,2,0,5,5,2,0,3,3,1,0,20,4,2649249.57,2,903032.68,141857.35,1540006.99,0,1797990.15,248705.42,129121.95,175442.49,106907.08,0
6,6,0,0,0,2,0,0,0,2,0,0,0,5,1,0,0,304861.37,0,0,0,0,0,0,9737.11,2971.72,0
7,5,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,3308.273421,0,0,0,3308.273421,0,10060.8,0,0
8,1,4,0,1,1,1,0,1,1,1,0,1,3,0,0,1,0,0,0,0,0,776160.105,0,981.87,10000,1
9,71,15,0,0,2,1,0,0,1,1,0,0,2,1,46290.81,1,46290.81,0,0,0,0,46290.81,0,19376.69,48709.05,2
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5685.57,0,0,0,0
11,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,153.55,930.45,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,71,280,40,11,6,9,2,3,4,4,2,2,9,3,0,1,332648.63,676647.195,830356.195,0,0,1461605.53,0,929415.1,926689.255,1
14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9044.59,0,0,0,0,0,0,0,0,0
15,8,0,0,0,2,0,0,0,1,0,0,0,1,1,12447,0,12447,0,0,0,0,12447,0,1667,489,0
16,7,11,0,0,2,2,0,0,2,2,0,0,0,0,0,1,0,0,9.17,0,0,0,0,5344.84,2524.96,1
17,32,9,0,0,3,2,0,0,1,1,0,0,4,3,247470.76,0,0,96081.98,80972.44,0,0,149714.57,90109.5,8756.19,847.74,0
18,0,17,0,0,0,2,0,0,0,1,0,0,3,1,78845.95,0,0,78845.95,0,0,0,78845.95,0,0,162026.76,0
19,2,10,0,0,1,2,0,0,1,2,0,0,1,1,236368.14,1,246878.97,0,0,0,0,0,252514,932.58,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,2,2,169564.875,0,5870.56,163694.315,0,0,0,169564.875,0,0,0,0
21,2,0,1,0,1,0,1,0,1,0,1,0,4,2,0,0,0,0,119447.5,0,119447.5,0,0,15000,863959.105,1
22,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.86,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.16,0,261.16,0,0,0,0,261.16,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95144.8,0,0,0,0
25,1,4,0,2,1,2,0,1,1,1,0,1,3,1,442292.465,0,0,451614.69,0,0,0,442292.465,0,9795.31,657946.06,0
26,1,1,1,0,1,1,1,0,1,1,1,0,1,1,16911.35,0,0,16911.35,0,0,0,16911.35,0,17000,0,0
27,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,93,18,16,2,8,4,4,2,2,2,1,2,14,3,1799352.58,2,121314.245,1672897.935,5140.4,0,0,636616.505,1162736.075,839034.23,663611.55,0
29,31,27,6,3,4,2,2,1,3,2,2,1,5,2,525746.48,0,0,165473.35,0,0,0,620349.59,0,165638.82,24192.47,0
30,11,9,0,2,1,2,0,1,1,2,0,1,4,0,0,0,0,0,0,0,0,471938.34,0,8945.65,437173,0
31,46,55,0,1,7,14,0,1,3,3,0,1,11,2,280976.565,2,213879.215,76738.015,0,0,0,182154.345,98822.22,41607.95,98589.905,0
32,48,164,4,4,5,5,1,2,3,2,1,1,5,1,0,1,0,0,12892.03,0,0,804680.0303,0,191486.1556,321001.5423,0
33,9,54,0,2,4,5,0,2,2,2,0,2,8,4,305862.3003,0,223045.5798,12482.2917,32117.18718,0,0,305862.3003,0,14121.32478,2134.93,0
34,11,0,0,0,1,0,0,0,1,0,0,0,0,0,1036.89,0,1036.89,0,0,0,0,1036.89,0,964.89,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18263.03,0,0,0,0,0,0,18263.03,0,0,309777,4
36,3,2,0,0,2,1,0,0,1,1,0,0,1,1,8281.115,1,8281.115,0,0,0,0,8281.115,0,1229.445,7160.94,0
37,4,3,4,3,2,2,2,2,1,1,1,1,5,1,0,1,0,144835.58,0,0,0,67582.605,0,290006.02,142841.425,1
38,14,11,2,3,1,1,1,1,1,1,1,1,1,1,149550.7237,0,164435.09,1679.088741,0,0,0,149550.7237,0,54904.67,59803.48,1
39,89,67,30,6,6,4,3,1,3,3,2,1,18,4,3350949.048,0,48764.47973,2224043.366,625508.468,0,1140213.8,2210735.248,0,1837428.71,1627109.403,0
40,1,5,1,4,1,4,1,3,1,2,1,1,1,1,7077.27,0,0,8154.53,0,0,0,7077.27,0,25000,60113.85,0
41,2,26,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3692.95,6798.62,1
42,1,6,1,1,1,4,1,1,1,3,1,1,4,0,0,0,0,0,0,0,0,0,5211.82,11000,0,0
43,30,39,0,1,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20898.39,15722.65,0
44,21,15,9,8,4,5,4,4,2,3,2,3,7,3,1236999.01,2,22267.33,1216050.36,52550.27,0,0,1236999.01,0,232412.33,306502,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424225.175,4
46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45198.39,0,0,0,130678.98,0,0,45198.39,0,0,0,0
47,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,296325.55,0,25000,0,0,0,299879,0,0,0
49,65,0,0,0,5,0,0,0,1,0,0,0,3,1,45946.6,2,0,0,30.18,45916.42,0,0,0,8661.25,10244.99,0
50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,61450.76,0,61450.76,0,0,0,0,0,61450.76,0,0,0
51,808,404,15,23,8,9,5,5,3,3,3,3,13,3,1528253.361,0,0,1628977.199,478675.4445,0,0,680675.1429,847578.2182,1087803.269,546133.0679,0
52,6,9,0,1,2,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8059.04,876.84,0
53,0,0,0,0,0,0,0,0,0,0,0,0,4,1,598049.48,0,0,615077.97,0,0,0,598049.48,0,0,5666.93,1
54,4,23,0,0,2,1,0,0,1,1,0,0,1,0,0,2,2632.64,0,0,0,0,0,0,3414.71,8990.06,0
55,239,139,64,20,4,7,3,3,2,3,2,2,4,3,24807789.67,1,24638697.09,33931.825,0,0,0,423486.665,24384303,5311983.295,2287823.94,0
56,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18100,0
57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,87938.03,0,0,87938.03,0,0,0,87938.03,0,0,0,0
58,4,4,0,0,4,1,0,0,3,1,0,0,2,2,17928.285,4,8287.575,9710.055,0,0,0,17928.285,0,19623.085,116809.06,1
59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,134,110,0,6,8,10,0,4,3,3,0,2,19,4,1739062.326,1,410691.7742,755158.9322,565004.1069,8207.5125,82223.59875,946409.2683,470647.8885,332661.5134,1299653.676,2
61,19,26,2,6,3,2,2,1,3,1,2,1,6,2,2487216.19,1,0,2364137.985,129252.695,0,0,475195.585,2012020.605,185153.905,135052.5,0
62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,187881.29,0,191035.08,0,0,0,0,0,187881.29,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11738,1
64,374,252,105,19,1,5,1,4,1,3,1,2,5,2,8649718.56,0,9398288.146,0,484528.0865,0,0,8603310.7,46407.86,5166571.5,3767105.5,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.78,0,0,0,344.78,0,0,344.78,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1887132.11,0,2168735.94,0,0,0,0,0,0,0,0,0
67,187,13,57,1,2,5,1,1,1,3,1,1,5,2,1815439.347,1,41919.31832,1776733.991,0,0,0,1778165.055,37274.2922,1795396.952,1651722.078,1
68,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1729303.67,0,264234.17,891607.5,430512,0,1465069.5,0,290515.09,0,0,0
69,2,2,1,0,2,2,1,0,2,2,1,0,4,2,218167.21,2,81841.295,184328.425,0,0,0,0,290271.99,269356.325,138146.49,1
70,90,159,37,11,3,5,2,3,2,2,1,2,4,2,16383696.18,0,1122.28,16348143.45,34430.455,0,0,0,16399548.33,5207362.12,1368214.89,0
71,5,6,0,0,2,2,0,0,2,2,0,0,0,0,0,2,0,0,1.28,0,0,0,0,2281.87,581.61,1
72,1,0,1,0,1,0,1,0,1,0,1,0,1,1,132091,1,0,132091,0,0,0,0,132091,132091,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23211.25,0,0,1693.47,64020,0,64020,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,3,2,489193.46,0,312078.13,177115.33,0,0,0,489193.46,0,0,0,0
75,6,3,1,0,3,3,1,0,2,2,1,0,4,2,195975.8064,0,32501.43859,172600.2793,0,0,0,205101.7178,0,35952.54525,47536.27,1
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212.94,0,0,0,0,3212.94,0,0,0,0
77,6,4,0,0,6,3,0,0,2,2,0,0,2,1,12218.91,6,692,0,0,13511.29,0,0,0,5638.94,1299.15,0
78,112,62,4,3,3,3,3,2,2,2,2,2,3,2,211118.78,2,29229.9,181888.88,0,0,0,68212.37,142906.41,227226.7,85042.46,0
79,12,6,1,1,3,3,1,1,3,2,1,1,1,1,5045.42,1,0,0,44520.42,0,0,5045.42,0,48390.76,82865.01,0
80,0,0,0,0,0,0,0,0,0,0,0,0,1,1,724521.89,0,724521.89,0,0,0,0,0,724521.89,0,0,0
81,10,12,6,3,2,3,1,3,2,2,1,2,7,2,80959.83,0,146776.67,117914.745,0,0,0,0,349797.51,170168.01,1009.38,0
82,4,3,0,1,1,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8427,38211,0
83,31,18,0,0,1,1,0,0,1,1,0,0,1,1,0,1,23113.78,0,0,0,0,0,0,52101.76,0,0
84,58,32,9,6,2,2,2,2,2,2,2,2,8,3,8240860.99,0,7035177.13,1119835.885,4875,0,0,8087555.865,153305.125,281025,0,0
85,21,8,5,2,1,2,1,1,1,2,1,1,5,3,754919.125,0,554984.205,157937.085,0,0,0,756348.68,0,132434.79,262407.1836,1
86,16,15,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5624.93,11037.96,0
87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,50000,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25093,2
89,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1371845.25,0,0,1427710,0,0,0,0,1403247.66,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,0,1000,4000,0
91,30,7,0,0,2,4,0,0,1,2,0,0,11,3,216136.15,1,16532.68,0,17003.19,182600.28,0,0,0,8961.81,6167.88,2
92,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,25040.08,0,0,0,71565.285,0,0,0,0
93,19,13,2,0,4,9,1,0,2,4,1,0,14,4,831864.27,2,274027.27,113760.63,366177.79,0,0,831864.27,0,137856.2,35891.8,1
94,0,0,0,0,0,0,0,0,0,0,0,0,3,2,37979.64,0,7133.38,30846.26,0,0,0,37979.64,0,0,0,0
95,40,9,1,2,2,2,1,2,2,2,1,2,1,1,61260.58,1,70850.48,0,0,0,0,61260.58,0,90393.58,84854.74,1
96,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7683.38,0,0,0,0,0,0,7683.38,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5056.88,0,5056.88,0,0,0,0,5056.88,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2501,1
100,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,184.75,0,0
101,33,16,9,2,4,5,3,2,3,4,2,2,7,3,465737.75,1,58882.14,353988.45,53357.59,0,0,465737.75,0,309449.575,76644.375,0
102,0,0,0,0,0,0,0,0,0,0,0,0,4,1,275595.44,0,275595.44,0,0,0,0,25595.44,250000,0,402.775,1
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.09,0,652.09,0,0,0,0,652.09,0,0,0,0
104,124,30,5,8,13,12,4,5,2,2,1,2,11,2,578286.34,0,47702.27,0,0,639638.35,0,578286.34,0,317718.04,305006.21,0
105,0,2,0,0,0,1,0,0,0,1,0,0,1,1,84895.455,0,84895.455,0,0,0,96030,0,0,0,0,0
106,2,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,118256.615,15930.90675,0,15930.90675,110238.165,0,97455.91343,94097.9226,0
107,44,78,20,14,5,9,4,5,2,3,2,2,9,3,7803212.077,1,6638292.682,474230.6855,0,0,0,0,8335226.787,2027141.636,1833422.424,0
108,0,4,0,2,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,475756.06,10
109,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47852.44,0,0,47852.44,0,0,0,47852.44,0,0,0,0
110,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3255.3,1
111,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21100,0,21100,0,0,0,0,21100,0,0,0,0
112,27,44,1,1,2,4,1,1,1,2,1,1,1,1,0,0,22601.04,0,0,0,0,0,0,31156.05,11533.17,0
113,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,5923.48,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1413358.21,0,0,652332.65,761025.56,0,0,1413358.21,0,0,0,0
115,24,45,0,0,3,6,0,0,3,3,0,0,8,3,104158.1156,1,27354.50997,101325.4716,14563.78012,0,6156.25,142540.4575,0,43942.05899,256617.1344,1
116,18,9,2,2,2,1,2,1,2,1,2,1,1,1,0,2,0,28187,0,0,0,0,0,77594,123509,0
117,0,1,0,1,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,47745.23,0,0,0,0,0
118,9,10,8,6,3,4,3,2,2,2,2,2,8,3,1619698.35,1,124199.34,1275848.84,219650.17,0,0,509708.35,1109990,1298490,699519,2
119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,56137.145,0,56137.145,0,0,0,0,0,56137.145,0,0,0
120,11,0,0,0,1,0,0,0,1,0,0,0,0,0,2011.06,1,0,0,0,2011.06,0,0,0,2011.06,1723.52,0
121,11,28,4,3,4,3,3,2,3,3,2,2,4,3,356787.42,1,280475,32023.62,44288.8,0,0,143236.42,213551,203778.36,735.77,0
122,22,2,19,2,2,2,2,2,1,1,1,1,9,3,25567148.09,0,1545964.715,23198929.82,822253.55,0,11716118.13,12375686.86,1475343.1,733360.145,13898187.53,1
123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,56,0,0,0,1,0,0,0,1,0,0,0,3,2,200780.14,0,9602.1,3990.04,187188,0,422097.75,0,0,8592.6,7840.56,0
125,0,2,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,22,0,3,0,2,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,215203.375,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1934291.51,0,1959820.56,0,877765.6,0,0,1934291.51,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
129,269,184,27,7,2,3,2,2,2,2,2,2,5,3,4929187.02,0,277458.54,4588412.135,63316.345,0,0,4929187.02,0,1337030.9,664577.715,0
130,2,3,1,2,2,3,1,2,1,2,1,1,4,1,64591.71,0,63090.24,1501.47,0,0,0,181412.71,0,122483.93,86.93,0
131,2,33,0,0,1,3,0,0,1,2,0,0,3,1,146815.86,1,0,217192.34,0,0,0,146815.86,0,479.27,2201.02,1
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.53,2
133,2,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,12619.035,0,0,0,0,0,0,568.97,0,0
134,64,59,37,22,6,4,5,4,2,2,2,2,10,4,11755630.01,2,6606850.965,4829650.67,16309.1,0,0,2285177.08,9470452.925,8469252.76,624230.62,0
135,0,0,0,0,0,0,0,0,0,0,0,0,3,2,161188.18,0,61188.18,100000,0,0,0,161188.18,0,0,0,0
136,2,0,0,0,1,0,0,0,1,0,0,0,1,1,16290,1,0,16290,0,0,0,16290,0,16290,0,0
137,243,373,6,21,1,4,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,338303.7301,187997.339,6
138,2,3,0,0,2,3,0,0,2,2,0,0,2,1,0,1,8693.18,0,0,0,0,0,0,2053.36,35414.16,2
139,1,0,0,0,1,0,0,0,1,0,0,0,0,0,549.36,1,0,0,549.36,0,0,549.36,0,549.36,163625.96,3
140,7,13,3,9,1,2,1,2,1,2,1,2,1,1,0,0,49169.75,0,0,0,0,0,0,63000,0,0
141,0,2,0,1,0,2,0,1,0,2,0,1,1,1,6641.76,0,0,6920.19,0,0,0,6641.76,0,0,0,0
142,93,11,30,2,3,2,2,1,2,2,1,1,4,2,33271675.08,0,0,32184150.62,1089533.535,0,0,0,33273684.16,2573191.605,3052096.145,2
143,0,0,0,0,0,0,0,0,0,0,0,0,1,1,166250.86,0,0,213859.74,0,0,0,166250.86,0,250000,250000,0
144,7,9,1,1,3,5,1,1,2,2,1,1,9,2,407144.92,0,290972.83,0,144464.6,0,460670.05,0,0,31860,38428,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619790.06,7
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250,0,0,0,0,0,0,3250,0,0,0,0
147,5,14,1,0,3,3,1,0,3,3,1,0,1,1,9817.61,1,720.91,0,0,0,0,9817.61,0,14460.95,1478.16,0
148,19,20,2,0,3,2,2,0,2,2,2,0,3,2,282622.38,0,259819.88,40622.17,0,0,0,62664.38,219958,152966.09,0,0
149,3,1,3,0,1,1,1,0,1,1,1,0,1,1,582198.37,1,0,585270.55,0,0,0,582198.37,0,619734.05,2619089,1
150,4,1,2,1,2,1,2,1,1,1,1,1,4,0,0,2,0,0,0,0,0,0,0,370237.04,6278757.76,0
151,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7644.515,0,6554.485,1090.03,0,0,0,7644.515,0,0,0,0
153,27,7,0,1,6,5,0,1,2,2,0,1,12,2,0,5,112664.5,0,0,47115.26,0,0,0,16611.44,15275.18,0
154,10,3,5,2,4,2,3,2,3,2,2,2,5,4,583300.69,2,24875.08,391619.73,103330.94,0,0,583300.69,0,265212.94,689711.21,0
155,3,0,2,0,1,0,1,0,1,0,1,0,2,1,4330024.49,0,4501498.8,0,0,0,0,0,4330024.49,551269.5,494.18,0
156,1,5,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,146.97,1
157,44,13,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3999.03,0,0,0,11237.65,7037.56,0
158,15,21,4,7,4,4,3,4,2,3,2,3,6,4,318660.66,0,25786.93,16577.08,223116.83,0,0,318660.66,0,107810.62,0,0
159,372,635,52,13,21,10,6,4,4,4,2,2,9,4,2043893.95,13,166933.78,1397980.585,447466.055,31513.53,0,1762494.98,247600.4,1936409.565,1671801.805,2
160,1,16,0,1,1,6,0,1,1,2,0,1,7,1,0,1,0,0,0,0,0,0,0,8970.375,7747,0
161,25,3,5,0,3,2,1,0,2,1,1,0,2,1,130112.31,1,0,145094.47,0,0,0,130112.31,0,163632.11,150017.14,1
162,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6000,0,0,6000,0,0,0,6000,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3695.62,0,0,6501.73,0,0,0,3695.62,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,134519.27,0,134519.27,0,0,0,0,134519.27,0,0,0,0
165,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,1,1,359999.95,0,359999.95,0,0,0,0,359999.95,0,0,0,0
167,22,9,5,0,5,1,3,0,2,1,2,0,4,2,57490.38,5,0,0,11527.39,54569.25,0,0,0,44550.32,23520.19,1
168,0,2,0,1,0,1,0,1,0,1,0,1,5,3,106320.025,0,151194.995,0,19777.145,0,0,196283.65,0,0,0,0
169,0,1,0,0,0,1,0,0,0,1,0,0,1,1,10041.1,0,0,0,13090.58,0,0,10041.1,0,0,0,0
170,13,0,0,0,1,0,0,0,1,0,0,0,2,1,19649.25,0,1929.02,17720.23,0,0,0,17720.23,0,1351.115,15836.465,1
171,3,5,0,1,1,4,0,1,1,3,0,1,1,1,45073.2,0,0,71066.43,0,0,0,0,87530.98,1210.22,1644.23,0
172,6,9,0,0,2,2,0,0,2,2,0,0,0,0,355.85,2,0,171.2,184.65,0,0,355.85,0,19651.28,18741.01,1
173,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4906.37,2
174,0,6,0,0,0,3,0,0,0,2,0,0,2,1,0,0,0,12363.08,0,0,0,0,0,0,20656.47,4
175,16,5,0,3,1,3,0,2,1,2,0,1,3,2,31079.46,0,0,53971.315,18056.86,0,0,31079.46,0,6940.03,15376.1,1
176,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48232.29,2
177,6,32,0,1,2,4,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3157.21,6757.08,0
178,81,34,2,3,4,5,1,3,3,3,1,3,15,3,254328.33,1,0,393494.19,38166.76,0,0,254328.33,0,121135.97,351706.19,0
179,7,6,2,2,3,5,1,2,2,2,1,1,4,1,73365.49763,1,80739.63763,0,0,0,0,126845.5376,0,128707.13,174079.3,0
180,0,7,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1,3,0,1,1,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7337.37,0,0
182,26,86,13,4,6,3,5,2,3,3,3,2,9,3,2448762.58,3,298392.43,1746471.83,403443.5,0,0,2448762.58,0,1557438.81,1604696.99,2
183,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,244.3,0,0,0,0,0,0,244.3,67951.42,2
184,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.1,1
185,12,73,3,4,6,8,3,3,3,4,2,2,10,3,3768355.378,2,0,3757680.458,57094.742,0,0,238305.4482,3530049.93,160084.8727,597614.94,2
186,14,1,0,0,3,1,0,0,2,1,0,0,2,1,0,2,0,14034.355,0,0,0,0,0,1010.21,21110.42,2
187,2,0,1,0,1,0,1,0,1,0,1,0,1,1,87465.2,1,87465.2,0,0,0,0,87465.2,0,87465.2,1347.49,0
188,38,30,5,1,5,5,3,1,2,3,2,1,5,2,1534868.9,3,16085.31,1516842.75,1940.84,0,0,253505.97,1281362.93,1434637.25,167162.87,0
189,58,0,0,0,4,0,0,0,1,0,0,0,2,1,7700.89,3,0,0,0,17305.7,0,0,0,13433.61,7883.71,1
190,6,5,1,3,3,3,1,2,2,2,1,1,12,3,757007.79,0,133356,373797.29,249854.5,0,0,658651.79,0,36150.7,0,0
191,42,14,1,1,1,2,1,1,1,2,1,1,2,1,0,0,50498.62,0,0,0,0,0,0,83491.48,0,0
192,9,9,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,11844.985,0,0,0,0,0,512.51,0,0
193,9,7,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,49117.05,0,0,49042.79,0,8782.17,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,0,2774,0,0,0,0,2774,0,0,0,0
195,7,21,5,0,3,6,2,0,2,2,2,0,4,3,1455994.562,0,154655.7261,446979.2343,0,0,0,0,752242.9748,1091774.384,70362.24307,0
196,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.65,0,0
197,46,83,2,3,8,13,2,2,4,4,1,2,11,4,1140087.415,2,96986.86,988877.005,11152.455,0,0,1140087.415,0,183221.35,132768.84,1
198,20,10,5,5,9,6,5,5,1,2,1,2,5,1,680702.4,9,0,0,0,691072.32,0,680702.4,0,1039422.2,100562.4,1
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6540,0,3800,0,0,0,0,6540,0,0,0,0
200,117,49,0,3,12,12,0,2,3,3,0,1,9,2,1802715.87,1,21552.8,0,201.51,1820939.38,0,1802715.87,0,133689.33,139568.82,0
201,13,32,4,5,5,6,2,3,3,3,2,3,4,2,119025.07,3,0,123788,10000,0,0,0,127961.16,96618.54,132020.57,0
202,21,6,0,0,3,4,0,0,1,1,0,0,2,1,23377.07,3,23377.07,0,0,0,0,23377.07,0,30706,23591,0
203,9,2,0,0,3,2,0,0,2,1,0,0,5,3,0,1,12789.58334,0,34547.62955,0,225755.3389,29814.80881,0,20182.565,2366.875,0
204,161,55,1,0,4,3,1,0,3,3,1,0,9,0,0,1,0,0,0,0,0,0,0,219327.937,34546.314,1
205,1,1,1,0,1,1,1,0,1,1,1,0,3,1,0,0,6128.895,0,0,0,0,0,0,16000,37500,1
206,0,0,0,0,0,0,0,0,0,0,0,0,2,1,293964.85,0,0,293964.85,0,0,0,293964.85,0,0,0,0
207,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
